title,id,activity,creation,status
"Python 3.5 docs need to clarify how to set PATH, etc",23623,2015-07-21.07:05:19,2015-03-09.14:14:27,1
datetime.utcfromtimestamp parses timestamps incorrectly,23517,2015-07-21.07:04:57,2015-02-24.22:38:42,1
forbid redefinition of specializations in singledispatch,24597,2015-07-21.07:04:39,2015-07-09.13:41:12,1
deeply nested filter segfaults,14010,2015-07-21.07:04:02,2012-02-14.15:58:25,1
Improve documentation about __main__.py,24632,2015-07-21.07:03:36,2015-07-14.06:54:01,1
os.pipe() should return a structsequence (or namedtuple.),24536,2015-07-21.07:03:12,2015-06-30.07:19:17,1
Constructors of some mapping classes don't accept `self` keyword argument,22609,2015-07-21.07:02:52,2014-10-11.12:04:09,1
"json checks True/False by identity, not boolean value",4945,2015-07-21.06:03:50,2009-01-14.05:31:37,1
trace/profile conflict with the use of sys.modules[__name__],9914,2015-07-21.05:57:54,2010-09-21.18:17:43,1
Idle: test PathBrowser more,20792,2015-07-20.21:49:46,2014-02-27.09:29:43,1
Figure out extended attributes on BSDs,12978,2015-07-20.18:56:55,2011-09-14.15:35:25,1
segmentation fault at asciilib_split_char.lto_priv,24605,2015-07-20.13:33:09,2015-07-10.13:09:46,1
pyclbr not recursively showing classes in packages,24674,2015-07-20.13:29:27,2015-07-20.13:26:41,1
os.chdir breaks result of os.path.abspath(__file__) and os.path.realpath(__file__),24670,2015-07-20.11:44:37,2015-07-19.14:26:33,1
distutils/_msvccompiler does not remove /DLL during link(CCompiler.EXECUTABLE),24673,2015-07-20.11:05:19,2015-07-20.11:05:19,1
Avoid repeated hash calculation in C implementation of functools.lru_cache(),24483,2015-07-20.09:58:23,2015-06-21.12:34:02,1
shutil.rmtree failes on non ascii filenames,24672,2015-07-20.08:48:48,2015-07-20.08:40:07,1
Document auto __ne__ generation; provide a use case for non-trivial __ne__,4395,2015-07-20.08:12:44,2008-11-23.18:21:33,1
signal handler never gets called,5315,2015-07-20.05:32:53,2009-02-19.13:47:06,1
python -mtrace --help is wrong,24649,2015-07-20.01:39:08,2015-07-16.22:43:05,1
idlelib 2.7: finish converting print statements,24671,2015-07-19.22:32:41,2015-07-19.22:18:41,1
Use after free in PyObject_GetState,24097,2015-07-19.21:12:23,2015-05-01.14:05:35,1
CGIHTTPServer: premature unescaping of query string,24661,2015-07-19.13:11:02,2015-07-18.14:04:01,1
Buffered I/O does not take file position into account when reading blocks,24666,2015-07-19.05:04:05,2015-07-19.05:00:46,1
httplib: false BadStatusLine() raised,8450,2015-07-19.00:36:57,2010-04-18.22:45:28,1
Modernize pydoc to use better HTML and separate CSS,10716,2015-07-18.23:27:59,2010-12-16.09:25:37,1
Log type of unserializable value when raising JSON TypeError,24641,2015-07-18.22:22:13,2015-07-15.20:49:32,1
Wrong or missing exception when compiling regexes with recursive named backreferences,24580,2015-07-18.20:38:14,2015-07-07.01:25:41,1
PyMapping_Check returns 1 for lists,5945,2015-07-18.05:31:09,2009-05-05.21:47:15,1
Encoding declaration: doc supported encodings,24563,2015-07-18.04:23:21,2015-07-03.23:38:39,1
CGIHTTPServer module discard continuous '/' letters from params given by GET method.,24657,2015-07-18.02:49:36,2015-07-18.02:49:36,1
webbrowser default browser detection and/or public API for _trylist.,24241,2015-07-18.01:03:44,2015-05-19.13:43:02,1
Error in yield expression documentation,24650,2015-07-18.00:23:14,2015-07-17.06:53:38,1
Add __iter__ support for mock_open,21258,2015-07-17.22:21:43,2014-04-16.17:56:45,1
zipfile.BadZipFile: File is not a zip file,24621,2015-07-17.18:31:42,2015-07-12.19:24:01,1
test_typing is flaky,24635,2015-07-17.14:10:55,2015-07-15.01:34:05,1
C-API Pure Embedding enhancement,24652,2015-07-17.08:10:49,2015-07-17.08:10:49,1
logging.handlers.QueueHandler should not lock when handling a record,24645,2015-07-17.00:32:42,2015-07-16.19:03:19,1
Allocation of values array in split dicts should use small object allocator.,24648,2015-07-16.21:11:49,2015-07-16.20:58:44,1
use small object allocator for dict key storage,23601,2015-07-16.20:59:18,2015-03-07.11:24:41,1
VS 2015 pyconfig.h #define timezone _timezone conflicts with timeb.h,24643,2015-07-16.20:50:33,2015-07-16.13:51:20,1
"Document argparse.REMAINDER as being equal to ""...""",24647,2015-07-16.20:47:25,2015-07-16.20:47:25,1
random.choice IndexError due to double-rounding,24567,2015-07-16.19:34:46,2015-07-05.03:04:00,1
"Mention ""__main__.py"" explicitly in command line docs",17359,2015-07-16.10:11:38,2013-03-05.19:40:25,1
Missing SWAP_INT in I_set_sw,23319,2015-07-16.09:47:25,2015-01-25.18:53:37,1
